faccX,faccY,yaw,posX,posY,velX,velY
0.09054724872112274,-0.17672719061374664,-35.43355941772461,0.0359501233086404,-0.03885751244198118,0.08686327859759332,-0.09275862748424213
0.3698738217353821,-0.06667289137840271,-36.358028411865234,0.03742981830404866,-0.040420392350190223,0.09070012085139753,-0.09478696150084337
0.29249465465545654,0.4604467451572418,-37.0971794128418,0.03898748479576576,-0.041972829635358526,0.09621985815465452,-0.09150551271935305
0,0.3542616069316864,-37.34553527832031,0.04061146122713886,-0.043441344545119345,0.09865731361011665,-0.08471627645194531
-0.1614249050617218,-0.07240066677331924,-37.268280029296875,0.04224453972445596,-0.04483370880958521,0.09731210606793564,-0.08236743528395891
-0.11360372602939606,0,-37.13200378417969,0.043847308948429115,-0.046211527221732676,0.09502020080884299,-0.08297077417373658
-0.05419304966926575,-0.3113098740577698,-37.162574768066406,0.04541932640804187,-0.04761599219921563,0.09362189434468747,-0.08556502312421799
-0.12724840641021729,-0.17229565978050232,-37.46676254272461,0.04696709121267003,-0.049075659635580256,0.09210988221069177,-0.08959506923953692
0,0.07054811716079712,-37.95062255859375,0.04849341922129196,-0.05057597659114335,0.09104947882393996,-0.09044296542803446
0.07927869260311127,0.18485280871391296,-38.344642639160156,0.0500164159997884,-0.052065623172869294,0.09171013459563256,-0.08831462437907854
0.20524324476718903,0.10111076384782791,-38.58682632446289,0.05156467671092188,-0.05351767499775937,0.09408115074038506,-0.0859315946077307
0.20583803951740265,0.080385223031044,-38.73653030395508,0.05316124320133695,-0.05493726435324385,0.09750682810942332,-0.08441912805040677
0.6185320019721985,0.13206499814987183,-38.80912780761719,0.05484360492270856,-0.056329496333168624,0.10437657845517,-0.0826487095405658
-0.15397700667381287,0,-38.96195602416992,0.05661547532719045,-0.05769780364508431,0.10824787008265654,-0.08154816788931687
-0.6638718843460083,-0.2726545035839081,-39.38950729370117,0.05836281143335834,-0.05907587411709959,0.10143246265749137,-0.08382028875251611
0,0,-39.83785629272461,0.06000725026345917,-0.060491813270168185,0.09590019695460797,-0.08609240961571535
0.251708447933197,0.16794215142726898,-40.13837814331055,0.061623066632697995,-0.06191502411435877,0.09799776735405127,-0.08469289168715477
0.3276222050189972,0.19327469170093536,-40.2156867980957,0.06329659405060942,-0.06330148780614966,0.10282552279531956,-0.08168275132775307
0.31437593698501587,0.11858759075403214,-40.22452163696289,0.06505493596817058,-0.06464120989199729,0.10817550731201966,-0.07908389897396167
0,-0.11986661702394485,-40.352935791015625,0.0668796927523282,-0.0659593636961654,0.1107953067868948,-0.07909455752621095
-0.3139883875846863,0,-40.39484405517578,0.06870447644963862,-0.06728593039222891,0.10817873689035575,-0.08009344600141048
-0.7055261731147766,-0.11724565178155899,-40.33378982543945,0.07043665577554042,-0.06862896321807058,0.09968278221786023,-0.08107049309959014
0,0,-40.20286178588867,0.07204904060603846,-0.06998828016221524,0.09380339744190376,-0.08204754019776979
-0.09555086493492126,0.09653271734714508,-39.992366790771484,0.07360579508667194,-0.07134903550458452,0.09300714023411275,-0.08124310088654357
-0.40182122588157654,0.12316910177469254,-39.73988723754883,0.07512137436204488,-0.07268783011525456,0.08886237281064194,-0.0794122523938616
-0.28491470217704773,0.09192762523889542,-39.52790832519531,0.07655472391388485,-0.07399643038244298,0.0831395734101534,-0.07761977966874836
0,0,-39.459075927734375,0.077920597727514,-0.07528370951405831,0.08076528422534468,-0.0768537161250909
0.2275536060333252,0,-39.49451446533203,0.07928248813168873,-0.07656460478280983,0.08266156427562239,-0.0768537161250909
0.25615832209587097,0.08208475261926651,-39.644447326660156,0.08069377197573585,-0.07783979972151833,0.08669249701003236,-0.07616967651993034
0.31663623452186584,0,-39.855098724365234,0.08217842432566817,-0.07910359400014083,0.09146578498184683,-0.07548563691476978
0.4254887104034424,0.10429956018924713,-40.056983947753906,0.08375439052987432,-0.08035444492370719,0.09765015952289106,-0.07461647391319272
0.2991611659526825,0,-40.17287826538086,0.08543221609666946,-0.08159080979724725,0.10368890849252543,-0.07374731091161565
0.1954333633184433,0,-40.27439498901367,0.08719471141385537,-0.08281993164577418,0.10781052956978482,-0.07374731091161565
0.27955251932144165,0,-40.38581466674805,0.08902453870409067,-0.08404905349430111,0.11176874525845053,-0.07374731091161565
0.0784386619925499,0,-40.49761199951172,0.09091221162376721,-0.08527817534282804,0.11475200510273378,-0.07374731091161565
-0.052969470620155334,0.05856998264789581,-40.61825942993164,0.0928265137359914,-0.08650322983144887,0.11496424836417041,-0.0732592277228832
-0.17714494466781616,0,-40.70713424682617,0.09472660437433258,-0.08772014960025748,0.11304662823677064,-0.07277114453415073
-0.14766690135002136,0.05110238865017891,-40.77754592895508,0.09658815846674974,-0.0889294532321704,0.11033986285328866,-0.07234529129539924
0,0.0589534156024456,-40.7637825012207,0.09841690153504414,-0.09012756532290951,0.10910930534203848,-0.07142815959329403
0.09557367861270905,0,-40.7633056640625,0.10024202701842622,-0.0913139406622698,0.10990575266381106,-0.07093688112994032
0.21424052119255066,0.060948994010686874,-40.89353942871094,0.10209530443780955,-0.09249198944540696,0.11248753766218822,-0.07042897284651793
0,0.14561766386032104,-41.09364318847656,0.10398497454615106,-0.09365146075271899,0.11427287533879281,-0.0687075840309262
-0.2503620982170105,0.197540745139122,-41.26493835449219,0.10587213621164365,-0.09477275670816503,0.11218652452031772,-0.0658479306225975
-0.57914137840271,0.14000067114830017,-41.407562255859375,0.10768430721221703,-0.09584678184241058,0.10527399554848671,-0.06303508548686898
-0.3576571047306061,0.1010090783238411,-41.524253845214844,0.10937381835447421,-0.09688062981236727,0.09746734152237574,-0.06102667090793447
-0.21590469777584076,0.12836386263370514,-41.6634635925293,0.1109584433657842,-0.09788181231771079,0.09268765983482202,-0.05911522973328825
-0.19712576270103455,0.16247062385082245,-41.76786804199219,0.11247455502549812,-0.09884686930725972,0.08924573933084806,-0.056691609012583855
-0.11481150984764099,0.13714191317558289,-41.85753631591797,0.11394032170375193,-0.09977092303128707,0.0866462620596091,-0.05419483787069714
0,0.09154773503541946,-41.96768569946289,0.11537645304989488,-0.10065828910356181,0.08568949947754542,-0.05228909080227212
0,0.0955258160829544,-42.128482818603516,0.11680461137452064,-0.10151678273143869,0.08568949947754542,-0.05073014454295234
0.05397649109363556,0,-42.277042388916016,0.11823651806658346,-0.1023556514032599,0.08613930356999239,-0.04993409607559439
0,0,-42.37380599975586,0.1196759214935204,-0.10318788633785314,0.08658910766243935,-0.04993409607559439
-0.22561505436897278,0,-42.465171813964844,0.12110340557578543,-0.10402012127244638,0.08470898220936458,-0.04993409607559439
-0.13096657395362854,0,-42.590152740478516,0.12249045933286355,-0.10485235620703962,0.08173746864000957,-0.04993409607559439
-0.08904844522476196,0,-42.74480056762695,0.12383747165608744,-0.10568459114163285,0.07990401014685632,-0.04993409607559439
-0.07189083099365234,0,-42.95719528198242,0.12515802881990876,-0.10651682607622609,0.07856284951170286,-0.04993409607559439
0.07344711571931839,0,-43.146663665771484,0.12646751772043197,-0.10734906101081933,0.07857581855108342,-0.04993409607559439
-0.16723227500915527,0,-43.28153610229492,0.12777060183799935,-0.10776517847811595,0.07779427555700144,0.0
-0.153522327542305,0,-43.371307373046875,0.1290448984721055,-0.10776517847811595,0.07512132053573928,0.0
-0.07703220099210739,0,-43.43244552612305,0.13028090974988626,-0.10776517847811595,0.07320003279795251,0.0
0,-0.05961572378873825,-43.50419235229492,0.1314955608381166,-0.10776931845893462,0.07255809778968494,-0.0004967976982394854
0.1282825618982315,-0.06614489108324051,-43.582366943359375,0.1327137709791876,-0.10778633179660471,0.07362711913883688,-0.0015448028221726417
0,0,-43.59368133544922,0.1339497981427445,-0.1078166719055217,0.07469614048798881,-0.0020960102478663127
0,0,-43.578369140625,0.1351947338175443,-0.1078516054096528,0.07469614048798881,-0.0020960102478663127
0,0,-43.57310485839844,0.1364396694923441,-0.1078865389137839,0.07469614048798881,-0.0020960102478663127
-0.0995878353714943,0,-43.534034729003906,0.1376776893452431,-0.107921472417915,0.07386624185989303,-0.0020960102478663127
-0.3163180351257324,-0.08852864801883698,-43.453369140625,0.13887991102412345,-0.10796255374482519,0.07040035960574947,-0.0028337489813566206
-0.36105120182037354,0,-43.337032318115234,0.14000621082054246,-0.10801593071729355,0.06475561596453193,-0.003571487714846929
-0.11085961759090424,0,-43.22999954223633,0.14105269950193666,-0.108075455512541,0.06082302580277128,-0.003571487714846929
0.07104175537824631,0.0708613321185112,-43.162269592285156,0.1420636514693292,-0.10813005938194688,0.060491210284332464,-0.0029809766138593355
0.0796232670545578,0.09325231611728668,-43.13984680175781,0.14308230115618145,-0.10816834554438372,0.06174675213793916,-0.0016133628785610199
0.18555307388305664,0.06911531835794449,-43.14656066894531,0.14412982871549,-0.10818395939552118,0.06395655497908595,-0.00026029925793409343
0.1423216164112091,0,-43.1757926940918,0.14521854037418963,-0.10818349804160078,0.0666888440648715,0.00031566172838211066
-0.06402559578418732,0,-43.10397720336914,0.1463354583322588,-0.10817823701279441,0.06734131090343001,0.00031566172838211066
-0.36838477849960327,0.0964803472161293,-42.91642761230469,0.14742778501576848,-0.10816627595987581,0.06373789111773176,0.0011196646218498548
-0.25850921869277954,0.17049112915992737,-42.764892578125,0.1484465488957034,-0.10812907519698553,0.058513774474461905,0.0033444269249836606
-0.22995376586914062,0.17888392508029938,-42.65079879760742,0.1493878574296832,-0.10804907259169134,0.05444324960311257,0.006255885710318883
-0.5369118452072144,0.22591020166873932,-42.66157150268555,0.15024199036674366,-0.10791669712660623,0.048052702844142946,0.009629170099894205
-0.17149785161018372,0.23622453212738037,-42.76487350463867,0.15099367362964483,-0.1077241182684277,0.042149288703997964,0.013480292881528536
0.07638324052095413,0.1609456092119217,-42.893043518066406,0.15168955659338582,-0.107471865460587,0.04135666694492105,0.016790044059356052
